Time_(Ps),ROG_(nm)
0,1.84968
10,1.87228
20,1.87205
30,1.87353
40,1.87369
50,1.8615
60,1.87626
70,1.878
80,1.88654
90,1.87457
100,1.87228
110,1.87436
120,1.8829
130,1.87808
140,1.87748
150,1.88071
160,1.87336
170,1.87468
180,1.8753
190,1.87025
200,1.87168
210,1.86895
220,1.8605
230,1.87017
240,1.85826
250,1.86885
260,1.8699
270,1.86551
280,1.86532
290,1.86646
300,1.86966
310,1.85919
320,1.85898
330,1.86173
340,1.85979
350,1.85702
360,1.8678
370,1.86334
380,1.85671
390,1.86262
400,1.86628
410,1.86187
420,1.86372
430,1.86161
440,1.86
450,1.86488
460,1.8625
470,1.86307
480,1.86102
490,1.86441
500,1.85718
510,1.85745
520,1.86467
530,1.86366
540,1.86413
550,1.85972
560,1.85584
570,1.86299
580,1.86224
590,1.8676
600,1.86013
610,1.86027
620,1.86649
630,1.86377
640,1.86413
650,1.86382
660,1.87397
670,1.86056
680,1.86003
690,1.8619
700,1.86867
710,1.87016
720,1.86784
730,1.86157
740,1.85567
750,1.86715
760,1.86874
770,1.86207
780,1.87084
790,1.86176
800,1.86106
810,1.86771
820,1.86157
830,1.86466
840,1.85919
850,1.8655
860,1.86391
870,1.85704
880,1.85975
890,1.87234
900,1.8642
910,1.86393
920,1.86406
930,1.85895
940,1.86188
950,1.8663
960,1.86263
970,1.8674
980,1.86045
990,1.85877
1000,1.86351
1010,1.86072
1020,1.86027
1030,1.86151
1040,1.85538
1050,1.8545
1060,1.85298
1070,1.86159
1080,1.85787
1090,1.85457
1100,1.85072
1110,1.85863
1120,1.85138
1130,1.84783
1140,1.85296
1150,1.84983
1160,1.85553
1170,1.84869
1180,1.86004
1190,1.85741
1200,1.86575
1210,1.85863
1220,1.85767
1230,1.86134
1240,1.85735
1250,1.85396
1260,1.85907
1270,1.86032
1280,1.86464
1290,1.86853
1300,1.86942
1310,1.8662
1320,1.86264
1330,1.86626
1340,1.86842
1350,1.86635
1360,1.8704
1370,1.86717
1380,1.86538
1390,1.8627
1400,1.86186
1410,1.8683
1420,1.87225
1430,1.86149
1440,1.86537
1450,1.85771
1460,1.86687
1470,1.86769
1480,1.85846
1490,1.86289
1500,1.87451
1510,1.86237
1520,1.86673
1530,1.87057
1540,1.86667
1550,1.87133
1560,1.8688
1570,1.85512
1580,1.86384
1590,1.86429
1600,1.86424
1610,1.85977
1620,1.86311
1630,1.86254
1640,1.8635
1650,1.85421
1660,1.85808
1670,1.86493
1680,1.87055
1690,1.86631
1700,1.86455
1710,1.86529
1720,1.86833
1730,1.872
1740,1.87132
1750,1.86756
1760,1.86655
1770,1.86903
1780,1.87915
1790,1.87363
1800,1.87895
1810,1.87546
1820,1.87368
1830,1.87718
1840,1.88031
1850,1.86766
1860,1.86905
1870,1.86618
1880,1.87009
1890,1.86836
1900,1.87647
1910,1.86738
1920,1.8746
1930,1.88391
1940,1.88064
1950,1.87737
1960,1.87333
1970,1.87338
1980,1.87608
1990,1.87095
2000,1.87759
2010,1.87847
2020,1.86743
2030,1.87717
2040,1.87489
2050,1.87418
2060,1.86964
2070,1.87064
2080,1.8712
2090,1.87418
2100,1.87909
2110,1.86249
2120,1.86627
2130,1.869
2140,1.87674
2150,1.86785
2160,1.86444
2170,1.86675
2180,1.86713
2190,1.87027
2200,1.87168
2210,1.86956
2220,1.86998
2230,1.87246
2240,1.8658
2250,1.86481
2260,1.86678
2270,1.87392
2280,1.86092
2290,1.86211
2300,1.86899
2310,1.87423
2320,1.8679
2330,1.86976
2340,1.87001
2350,1.85891
2360,1.8568
2370,1.8577
2380,1.86541
2390,1.85799
2400,1.86068
2410,1.85925
2420,1.86309
2430,1.87277
2440,1.86374
2450,1.87236
2460,1.87244
2470,1.86659
2480,1.86237
2490,1.86403
2500,1.86815
2510,1.8664
2520,1.87288
2530,1.86723
2540,1.87201
2550,1.87061
2560,1.87606
2570,1.88382
2580,1.88704
2590,1.87506
2600,1.8758
2610,1.87327
2620,1.86988
2630,1.87637
2640,1.88106
2650,1.86671
2660,1.86867
2670,1.86643
2680,1.8652
2690,1.85888
2700,1.86712
2710,1.8589
2720,1.8601
2730,1.86001
2740,1.86262
2750,1.8581
2760,1.86757
2770,1.86002
2780,1.85158
2790,1.84937
2800,1.85526
2810,1.84936
2820,1.86764
2830,1.85949
2840,1.85954
2850,1.86176
2860,1.86281
2870,1.8519
2880,1.8671
2890,1.86118
2900,1.86961
2910,1.85772
2920,1.86453
2930,1.85816
2940,1.85273
2950,1.85894
2960,1.8566
2970,1.85586
2980,1.85517
2990,1.85937
3000,1.86376
3010,1.86244
3020,1.86033
3030,1.8623
3040,1.86518
3050,1.86981
3060,1.87672
3070,1.87744
3080,1.86996
3090,1.8679
3100,1.86459
3110,1.8668
3120,1.86544
3130,1.8721
3140,1.87209
3150,1.87089
3160,1.87123
3170,1.8759
3180,1.87329
3190,1.87468
3200,1.88319
3210,1.87543
3220,1.87859
3230,1.8843
3240,1.87447
3250,1.87673
3260,1.87285
3270,1.87612
3280,1.87335
3290,1.86935
3300,1.87032
3310,1.88066
3320,1.87453
3330,1.86655
3340,1.87753
3350,1.87739
3360,1.87424
3370,1.88151
3380,1.87891
3390,1.87007
3400,1.86966
3410,1.87089
3420,1.86893
3430,1.87654
3440,1.8814
3450,1.87257
3460,1.8696
3470,1.87491
3480,1.87142
3490,1.87475
3500,1.87092
3510,1.87034
3520,1.87509
3530,1.86504
3540,1.86695
3550,1.87657
3560,1.86673
3570,1.8686
3580,1.87083
3590,1.86451
3600,1.85928
3610,1.86539
3620,1.85499
3630,1.86438
3640,1.85538
3650,1.85891
3660,1.85915
3670,1.85608
3680,1.85539
3690,1.85334
3700,1.85348
3710,1.85211
3720,1.84173
3730,1.85035
3740,1.83923
3750,1.84669
3760,1.845
3770,1.84287
3780,1.84226
3790,1.85501
3800,1.85029
3810,1.85312
3820,1.84587
3830,1.85787
3840,1.85751
3850,1.8582
3860,1.86094
3870,1.85939
3880,1.85989
3890,1.85867
3900,1.86048
3910,1.86823
3920,1.86172
3930,1.8674
3940,1.8692
3950,1.86495
3960,1.87318
3970,1.86778
3980,1.87539
3990,1.86939
4000,1.87359
4010,1.8728
4020,1.87037
4030,1.87175
4040,1.8736
4050,1.87015
4060,1.87148
4070,1.87119
4080,1.86738
4090,1.87066
4100,1.8704
4110,1.86639
4120,1.85691
4130,1.85737
4140,1.86917
4150,1.86455
4160,1.86655
4170,1.86421
4180,1.87141
4190,1.85888
4200,1.86202
4210,1.87353
4220,1.86296
4230,1.8568
4240,1.85492
4250,1.86454
4260,1.86088
4270,1.85906
4280,1.8598
4290,1.8662
4300,1.86229
4310,1.86359
4320,1.858
4330,1.85694
4340,1.86854
4350,1.86111
4360,1.87041
4370,1.86644
4380,1.8633
4390,1.86999
4400,1.86515
4410,1.85716
4420,1.85921
4430,1.85617
4440,1.86311
4450,1.8569
4460,1.86227
4470,1.85674
4480,1.85613
4490,1.85201
4500,1.85664
4510,1.86498
4520,1.85537
4530,1.86307
4540,1.86741
4550,1.85695
4560,1.86345
4570,1.87172
4580,1.86173
4590,1.86118
4600,1.86764
4610,1.85785
4620,1.86223
4630,1.86652
4640,1.87181
4650,1.86736
4660,1.86723
4670,1.86033
4680,1.86536
4690,1.86635
4700,1.87044
4710,1.8685
4720,1.86562
4730,1.87152
4740,1.87283
4750,1.86121
4760,1.87125
4770,1.87141
4780,1.86915
4790,1.87016
4800,1.86595
4810,1.87226
4820,1.87405
4830,1.87128
4840,1.86379
4850,1.85796
4860,1.87478
4870,1.86716
4880,1.87083
4890,1.86235
4900,1.87215
4910,1.86579
4920,1.86673
4930,1.86477
4940,1.87037
4950,1.86253
4960,1.86719
4970,1.86959
4980,1.86421
