Time_(Ps),ROG_(nm)
0,1.85148
10,1.86576
20,1.88446
30,1.87798
40,1.86855
50,1.88013
60,1.87762
70,1.88107
80,1.88286
90,1.87359
100,1.87825
110,1.87016
120,1.86838
130,1.87205
140,1.87362
150,1.86786
160,1.87917
170,1.87259
180,1.86871
190,1.86861
200,1.86462
210,1.87112
220,1.87942
230,1.86943
240,1.87106
250,1.86637
260,1.86245
270,1.86735
280,1.86578
290,1.86181
300,1.86674
310,1.86264
320,1.86456
330,1.85756
340,1.85631
350,1.86028
360,1.86818
370,1.86197
380,1.85847
390,1.86249
400,1.85506
410,1.85529
420,1.85645
430,1.86096
440,1.8611
450,1.85747
460,1.86299
470,1.86085
480,1.86106
490,1.85661
500,1.86259
510,1.85636
520,1.85527
530,1.85606
540,1.85565
550,1.86213
560,1.86605
570,1.86832
580,1.86997
590,1.87634
600,1.87005
610,1.87364
620,1.8704
630,1.86983
640,1.86676
650,1.87483
660,1.87362
670,1.87359
680,1.87404
690,1.87796
700,1.88384
710,1.88315
720,1.88382
730,1.87758
740,1.88671
750,1.88843
760,1.88395
770,1.8866
780,1.87851
790,1.88483
800,1.88271
810,1.87944
820,1.87835
830,1.88558
840,1.88267
850,1.88475
860,1.89349
870,1.88487
880,1.88842
890,1.88166
900,1.88544
910,1.88469
920,1.88357
930,1.87154
940,1.86888
950,1.8819
960,1.88242
970,1.87281
980,1.8743
990,1.87484
1000,1.87712
1010,1.87125
1020,1.87417
1030,1.88015
1040,1.87956
1050,1.87305
1060,1.87337
1070,1.87512
1080,1.8759
1090,1.87081
1100,1.86575
1110,1.87017
1120,1.87035
1130,1.86769
1140,1.86616
1150,1.87088
1160,1.87385
1170,1.87209
1180,1.86882
1190,1.88467
1200,1.87708
1210,1.86833
1220,1.8645
1230,1.86851
1240,1.87656
1250,1.87985
1260,1.88069
1270,1.87676
1280,1.87539
1290,1.87427
1300,1.87322
1310,1.87887
1320,1.88151
1330,1.88595
1340,1.8818
1350,1.88607
1360,1.87934
1370,1.87971
1380,1.87239
1390,1.87418
1400,1.87998
1410,1.86876
1420,1.88168
1430,1.88677
1440,1.87973
1450,1.87961
1460,1.88178
1470,1.88551
1480,1.88947
1490,1.88895
1500,1.88335
1510,1.88873
1520,1.8892
1530,1.89884
1540,1.87898
1550,1.88103
1560,1.88145
1570,1.87978
1580,1.87667
1590,1.8831
1600,1.87374
1610,1.88535
1620,1.86704
1630,1.87839
1640,1.87365
1650,1.86898
1660,1.86839
1670,1.87119
1680,1.86827
1690,1.86351
1700,1.86788
1710,1.86844
1720,1.87656
1730,1.88581
1740,1.87771
1750,1.88445
1760,1.89552
1770,1.87656
1780,1.87955
1790,1.87981
1800,1.87233
1810,1.8691
1820,1.86965
1830,1.88352
1840,1.88034
1850,1.86661
1860,1.88749
1870,1.87812
1880,1.87116
1890,1.88774
1900,1.87307
1910,1.87536
1920,1.88116
1930,1.87971
1940,1.88218
1950,1.89657
1960,1.87429
1970,1.88415
1980,1.88877
1990,1.89187
2000,1.88587
2010,1.88771
2020,1.88894
2030,1.8853
2040,1.88901
2050,1.88338
2060,1.89404
2070,1.88817
2080,1.89255
2090,1.88641
2100,1.89169
2110,1.89026
2120,1.89367
2130,1.89428
2140,1.90124
2150,1.89337
2160,1.89744
2170,1.89098
2180,1.89296
2190,1.8875
2200,1.89828
2210,1.89748
2220,1.88848
2230,1.89165
2240,1.88824
2250,1.88617
2260,1.88329
2270,1.87984
2280,1.87576
2290,1.88444
2300,1.88722
2310,1.89135
2320,1.89017
2330,1.88548
2340,1.89204
2350,1.89045
2360,1.89397
2370,1.88831
2380,1.88422
2390,1.88191
2400,1.87546
2410,1.87995
2420,1.8778
2430,1.87561
2440,1.87017
2450,1.87549
2460,1.88207
2470,1.88303
2480,1.88431
2490,1.88441
2500,1.88223
2510,1.88475
2520,1.8767
2530,1.88383
2540,1.87934
2550,1.88705
2560,1.88552
2570,1.88195
2580,1.87866
2590,1.87788
2600,1.87818
2610,1.88408
2620,1.87075
2630,1.87846
2640,1.87186
2650,1.87242
2660,1.885
2670,1.87814
2680,1.87732
2690,1.86853
2700,1.8705
2710,1.86812
2720,1.87731
2730,1.87709
2740,1.87047
2750,1.86849
2760,1.86284
2770,1.86648
2780,1.86908
2790,1.86885
2800,1.86862
2810,1.85959
2820,1.85966
2830,1.87138
2840,1.86622
2850,1.87413
2860,1.8782
2870,1.87297
2880,1.88444
2890,1.87434
2900,1.87896
2910,1.86911
2920,1.87003
2930,1.87097
2940,1.87283
2950,1.86586
2960,1.88101
2970,1.88079
2980,1.87548
2990,1.86579
3000,1.86636
3010,1.86757
3020,1.86646
3030,1.85762
3040,1.86582
3050,1.85941
3060,1.8622
3070,1.8641
3080,1.86471
3090,1.85872
3100,1.86579
3110,1.86264
3120,1.86379
3130,1.87162
3140,1.86914
3150,1.8765
3160,1.87189
3170,1.871
3180,1.86165
3190,1.86842
3200,1.86468
3210,1.86354
3220,1.86226
3230,1.86169
3240,1.87545
3250,1.85833
3260,1.86091
3270,1.85477
3280,1.86052
3290,1.86457
3300,1.86018
3310,1.85579
3320,1.85977
3330,1.8615
3340,1.86703
3350,1.86072
3360,1.86563
3370,1.87651
3380,1.85674
3390,1.85793
3400,1.8572
3410,1.86016
3420,1.86467
3430,1.85587
3440,1.86163
3450,1.8605
3460,1.8615
3470,1.86183
3480,1.86785
3490,1.85693
3500,1.85886
3510,1.85844
3520,1.86225
3530,1.85872
3540,1.86343
3550,1.8642
3560,1.86066
3570,1.85356
3580,1.86079
3590,1.86345
3600,1.85669
3610,1.86526
3620,1.8639
3630,1.86434
3640,1.86261
3650,1.85165
3660,1.86123
3670,1.86972
3680,1.86268
3690,1.87299
3700,1.86092
3710,1.86848
3720,1.86513
3730,1.86536
3740,1.868
3750,1.864
3760,1.86738
3770,1.86398
3780,1.86329
3790,1.86182
3800,1.85536
3810,1.85872
3820,1.86371
3830,1.86316
3840,1.87227
3850,1.85663
3860,1.87242
3870,1.86136
3880,1.85959
3890,1.84827
3900,1.85602
3910,1.85454
3920,1.86248
3930,1.85793
3940,1.86397
3950,1.86975
3960,1.86315
3970,1.86558
3980,1.85816
3990,1.86652
4000,1.86264
4010,1.86323
4020,1.86351
4030,1.87064
4040,1.86653
4050,1.86974
4060,1.86627
4070,1.86793
4080,1.86765
4090,1.86552
4100,1.86081
4110,1.85956
4120,1.86238
4130,1.85978
4140,1.85853
4150,1.86356
4160,1.85878
4170,1.85819
4180,1.85208
4190,1.85425
4200,1.85945
4210,1.8621
4220,1.85467
4230,1.84892
4240,1.86091
4250,1.86105
4260,1.86482
4270,1.86358
4280,1.85676
4290,1.87342
4300,1.87091
4310,1.86562
4320,1.86495
4330,1.87326
4340,1.86311
4350,1.87065
4360,1.86146
4370,1.87133
4380,1.87132
4390,1.87707
4400,1.87389
4410,1.8717
4420,1.87111
4430,1.87023
4440,1.8713
4450,1.87037
4460,1.86776
4470,1.87127
4480,1.86238
4490,1.86666
4500,1.86457
4510,1.85783
4520,1.86257
4530,1.8551
4540,1.86051
4550,1.86353
4560,1.86495
4570,1.86544
4580,1.87352
4590,1.87022
4600,1.86373
4610,1.86561
4620,1.86146
4630,1.8555
4640,1.86123
4650,1.86083
4660,1.86492
4670,1.8697
4680,1.86869
4690,1.87187
4700,1.87254
4710,1.87251
4720,1.85921
4730,1.86272
4740,1.85654
4750,1.85918
4760,1.86027
4770,1.86113
4780,1.85121
4790,1.85218
4800,1.8543
4810,1.86087
4820,1.85868
4830,1.85988
4840,1.85336
4850,1.85888
4860,1.85751
4870,1.86398
4880,1.86401
4890,1.86592
4900,1.87353
4910,1.85616
4920,1.85717
4930,1.85948
4940,1.8593
4950,1.86521
4960,1.85799
4970,1.85502
4980,1.85731
4990,1.85786
5000,1.85507
5010,1.84909
