Time_(Ps),ROG_(nm)
0,1.85164
10,1.86958
20,1.8764
30,1.87648
40,1.8766
50,1.87456
60,1.87626
70,1.87189
80,1.86825
90,1.87805
100,1.8765
110,1.87826
120,1.87596
130,1.88223
140,1.8863
150,1.8826
160,1.88321
170,1.88636
180,1.88136
190,1.88714
200,1.88791
210,1.87801
220,1.88413
230,1.88123
240,1.87909
250,1.87105
260,1.88573
270,1.88471
280,1.88685
290,1.88953
300,1.8818
310,1.88246
320,1.88877
330,1.88163
340,1.88934
350,1.88071
360,1.87805
370,1.88196
380,1.87627
390,1.88286
400,1.87878
410,1.87353
420,1.87164
430,1.87112
440,1.87334
450,1.87149
460,1.87344
470,1.87824
480,1.88115
490,1.87526
500,1.88994
510,1.88452
520,1.88349
530,1.87861
540,1.88641
550,1.88749
560,1.88157
570,1.87987
580,1.88423
590,1.89198
600,1.88528
610,1.8903
620,1.88548
630,1.87992
640,1.88442
650,1.88235
660,1.87953
670,1.88689
680,1.87614
690,1.87376
700,1.87531
710,1.88195
720,1.8776
730,1.8738
740,1.88107
750,1.8798
760,1.87265
770,1.88876
780,1.88568
790,1.88961
800,1.88934
810,1.89567
820,1.88315
830,1.88522
840,1.88893
850,1.88956
860,1.88725
870,1.88488
880,1.89323
890,1.89431
900,1.88405
910,1.88337
920,1.87571
930,1.87366
940,1.87749
950,1.87807
960,1.87024
970,1.87384
980,1.86571
990,1.87665
1000,1.86715
1010,1.87156
1020,1.87687
1030,1.8719
1040,1.88003
1050,1.88457
1060,1.88062
1070,1.8816
1080,1.8724
1090,1.88539
1100,1.88236
1110,1.8668
1120,1.87542
1130,1.87212
1140,1.87885
1150,1.87883
1160,1.87432
1170,1.87784
1180,1.87474
1190,1.88081
1200,1.88166
1210,1.88663
1220,1.87961
1230,1.89018
1240,1.88579
1250,1.89036
1260,1.89778
1270,1.88866
1280,1.88947
1290,1.87646
1300,1.88446
1310,1.89162
1320,1.89138
1330,1.89002
1340,1.88347
1350,1.8912
1360,1.89144
1370,1.88345
1380,1.89335
1390,1.89024
1400,1.8892
1410,1.88505
1420,1.88456
1430,1.89887
1440,1.88333
1450,1.8894
1460,1.88973
1470,1.89609
1480,1.89839
1490,1.88396
1500,1.88476
1510,1.89358
1520,1.89066
1530,1.89204
1540,1.89833
1550,1.89255
1560,1.88925
1570,1.88519
1580,1.89737
1590,1.89366
1600,1.89832
1610,1.9019
1620,1.88656
1630,1.89508
1640,1.90247
1650,1.89907
1660,1.8954
1670,1.90604
1680,1.9044
1690,1.89637
1700,1.90404
1710,1.89044
1720,1.90314
1730,1.89412
1740,1.90524
1750,1.90113
1760,1.90529
1770,1.90114
1780,1.89476
1790,1.9047
1800,1.88948
1810,1.88522
1820,1.89464
1830,1.89198
1840,1.89055
1850,1.89145
1860,1.88155
1870,1.89102
1880,1.88569
1890,1.88877
1900,1.88748
1910,1.89772
1920,1.88662
1930,1.89076
1940,1.88602
1950,1.88384
1960,1.87926
1970,1.88257
1980,1.88684
1990,1.88705
2000,1.88833
2010,1.88514
2020,1.87953
2030,1.88623
2040,1.88252
2050,1.89047
2060,1.88586
2070,1.88277
2080,1.8913
2090,1.88124
2100,1.8884
2110,1.882
2120,1.88416
2130,1.89053
2140,1.88982
2150,1.88289
2160,1.8923
2170,1.88669
2180,1.88519
2190,1.88599
2200,1.8894
2210,1.89041
2220,1.88627
2230,1.87485
2240,1.88255
2250,1.88931
2260,1.88681
2270,1.88596
2280,1.88429
2290,1.88881
2300,1.89154
2310,1.88941
2320,1.87108
2330,1.87993
2340,1.88301
2350,1.87863
2360,1.8846
2370,1.88809
2380,1.89242
2390,1.90054
2400,1.88553
2410,1.88482
2420,1.8879
2430,1.88474
2440,1.88231
2450,1.88235
2460,1.88835
2470,1.88423
2480,1.87629
2490,1.88558
2500,1.88395
2510,1.88604
2520,1.87527
2530,1.88269
2540,1.88103
2550,1.88549
2560,1.87952
2570,1.87747
2580,1.88276
2590,1.87726
2600,1.88171
2610,1.87348
2620,1.88236
2630,1.86978
2640,1.87104
2650,1.86928
2660,1.87852
2670,1.87881
2680,1.87518
2690,1.87413
2700,1.87331
2710,1.87595
2720,1.87318
2730,1.87819
2740,1.86007
2750,1.86994
2760,1.87167
2770,1.86937
2780,1.86745
2790,1.86316
2800,1.87221
2810,1.8696
2820,1.87764
2830,1.86838
2840,1.87709
2850,1.87331
2860,1.87559
2870,1.85909
2880,1.8722
2890,1.8645
2900,1.8687
2910,1.86577
2920,1.86953
2930,1.87317
2940,1.87031
2950,1.87142
2960,1.86391
2970,1.86692
2980,1.86749
2990,1.86433
3000,1.86471
3010,1.8631
3020,1.85907
3030,1.87212
3040,1.86057
3050,1.86632
3060,1.86606
3070,1.86279
3080,1.86419
3090,1.86939
3100,1.85645
3110,1.85707
3120,1.86454
3130,1.86264
3140,1.86673
3150,1.85711
3160,1.86462
3170,1.85962
3180,1.86236
3190,1.86702
3200,1.87119
3210,1.86173
3220,1.86389
3230,1.86244
3240,1.86195
3250,1.86579
3260,1.86076
3270,1.85769
3280,1.86072
3290,1.85459
3300,1.85957
3310,1.86121
3320,1.86589
3330,1.869
3340,1.86299
3350,1.85847
3360,1.86359
3370,1.87055
3380,1.86454
3390,1.86884
3400,1.86737
3410,1.87228
3420,1.86507
3430,1.86672
3440,1.86805
3450,1.86945
3460,1.87017
3470,1.86683
3480,1.86015
3490,1.86775
3500,1.85687
3510,1.86137
3520,1.8649
3530,1.85861
3540,1.86862
3550,1.85888
3560,1.86343
3570,1.85815
3580,1.86437
3590,1.85793
3600,1.85745
3610,1.85335
3620,1.85369
3630,1.84656
3640,1.85222
3650,1.84702
3660,1.84392
3670,1.85161
3680,1.84982
3690,1.8475
3700,1.85241
