Time_(Ps),ROG_(nm)
0,1.85401
10,1.87916
20,1.87196
30,1.8697
40,1.8754
50,1.88246
60,1.87639
70,1.8824
80,1.88668
90,1.89462
100,1.89787
110,1.89009
120,1.88932
130,1.89312
140,1.89331
150,1.88336
160,1.89808
170,1.89238
180,1.88679
190,1.899
200,1.90128
210,1.89084
220,1.88537
230,1.88736
240,1.89513
250,1.89275
260,1.88689
270,1.88491
280,1.88838
290,1.88364
300,1.89237
310,1.88835
320,1.89915
330,1.89881
340,1.89855
350,1.89638
360,1.89996
370,1.89433
380,1.89573
390,1.89082
400,1.88922
410,1.89095
420,1.88391
430,1.88967
440,1.90074
450,1.90477
460,1.90564
470,1.90566
480,1.89938
490,1.90758
500,1.89346
510,1.89464
520,1.8891
530,1.88284
540,1.88796
550,1.89724
560,1.88798
570,1.89638
580,1.89187
590,1.89259
600,1.89403
610,1.89302
620,1.88994
630,1.89407
640,1.88366
650,1.88278
660,1.88681
670,1.88615
680,1.88749
690,1.88185
700,1.88371
710,1.88845
720,1.87837
730,1.88487
740,1.88511
750,1.88937
760,1.88657
770,1.88822
780,1.88082
790,1.88748
800,1.89112
810,1.88693
820,1.87838
830,1.88372
840,1.89209
850,1.88993
860,1.8898
870,1.88868
880,1.88253
890,1.89012
900,1.88381
910,1.89172
920,1.87727
930,1.88214
940,1.88744
950,1.88433
960,1.88291
970,1.88194
980,1.88241
990,1.87866
1000,1.89445
1010,1.88451
1020,1.87739
1030,1.88108
1040,1.89167
1050,1.88652
1060,1.88914
1070,1.8826
1080,1.87941
1090,1.88578
1100,1.87975
1110,1.87545
1120,1.88317
1130,1.88375
1140,1.88352
1150,1.8781
1160,1.88687
1170,1.87861
1180,1.8882
1190,1.88225
1200,1.8766
1210,1.88834
1220,1.87673
1230,1.89049
1240,1.87474
1250,1.87429
1260,1.87886
1270,1.87443
1280,1.86787
1290,1.86754
1300,1.87025
1310,1.86933
1320,1.87718
1330,1.88064
1340,1.87734
1350,1.87922
1360,1.88297
1370,1.87341
1380,1.87869
1390,1.87383
1400,1.8797
1410,1.88516
1420,1.87707
1430,1.87673
1440,1.88431
1450,1.87976
1460,1.8847
1470,1.8845
1480,1.88277
1490,1.8785
1500,1.86939
1510,1.87237
1520,1.87875
1530,1.88109
1540,1.88139
1550,1.88269
1560,1.88466
1570,1.87603
1580,1.87505
1590,1.88522
1600,1.88743
1610,1.87484
1620,1.87819
1630,1.88034
1640,1.87922
1650,1.87619
1660,1.86793
1670,1.87454
1680,1.88219
1690,1.88222
1700,1.88773
1710,1.87961
1720,1.87509
1730,1.88067
1740,1.88235
1750,1.88743
1760,1.88026
1770,1.87936
1780,1.87665
1790,1.87204
1800,1.87271
1810,1.87473
