Time_(ns),RMSD_(nm)
0.0000000,0.0322792
0.0100000,0.0747384
0.0200000,0.0825118
0.0300000,0.0864695
0.0400000,0.1009406
0.0500000,0.1062991
0.0600000,0.1114370
0.0700000,0.1081180
0.0800000,0.1331645
0.0900000,0.1235023
0.1000000,0.1406603
0.1100000,0.1219033
0.1200000,0.1259348
0.1300000,0.1211220
0.1400000,0.1032663
0.1500000,0.1139157
0.1600000,0.1044758
0.1700000,0.1224967
0.1800000,0.1232416
0.1900000,0.1218516
0.2000000,0.1128205
0.2100000,0.1130719
0.2200000,0.1235433
0.2300000,0.1296329
0.2400000,0.1192110
0.2500000,0.1044445
0.2600000,0.1100799
0.2700000,0.1118046
0.2800000,0.1184235
0.2900000,0.1230402
0.3000000,0.0996749
0.3100000,0.1096550
0.3200000,0.1171954
0.3300000,0.1181230
0.3400000,0.1034849
0.3500000,0.1113217
0.3600000,0.1074468
0.3700000,0.0996809
0.3800000,0.1097243
0.3900000,0.1095390
0.4000000,0.1082409
0.4100000,0.1184095
0.4200000,0.1192760
0.4300000,0.1147570
0.4400000,0.1167962
0.4500000,0.1331563
0.4600000,0.1253747
0.4700000,0.1181362
0.4800000,0.1341977
0.4900000,0.1345770
0.5000000,0.1342103
0.5100001,0.1240793
0.5200000,0.1595093
0.5300000,0.1499698
0.5400000,0.1514980
0.5500000,0.1403497
0.5600000,0.1489531
0.5700001,0.1227127
0.5800000,0.1524906
0.5900000,0.1532435
0.6000000,0.1609248
0.6100000,0.1603006
0.6200000,0.1552361
0.6300001,0.1305346
0.6400000,0.1277763
0.6500000,0.1502772
0.6600000,0.1244385
0.6700000,0.1218311
0.6800000,0.1114811
0.6900001,0.1305702
0.7000000,0.1257434
0.7100000,0.1093540
0.7200000,0.1189342
0.7300000,0.1166483
0.7400000,0.1237462
0.7500001,0.1070316
0.7600001,0.1361771
0.7700000,0.1393362
0.7800000,0.1524083
0.7900000,0.1428970
0.8000000,0.1365010
0.8100001,0.1452345
0.8200001,0.1281899
0.8300000,0.1307358
0.8400000,0.1372843
0.8500000,0.1275216
0.8600000,0.1259227
0.8700001,0.1193137
0.8800001,0.1441571
0.8900000,0.1852463
0.9000000,0.1897723
0.9100000,0.1936324
0.9200000,0.1829389
