Time_(ns),RMSD_(nm)
0.0000000,0.0004980
0.0100000,0.0782225
0.0200000,0.0878565
0.0300000,0.0728388
0.0400000,0.0785394
0.0500000,0.0788339
0.0600000,0.0755888
0.0700000,0.0845423
0.0800000,0.1003363
0.0900000,0.0979127
0.1000000,0.0909821
0.1100000,0.1072229
0.1200000,0.1104558
0.1300000,0.1162776
0.1400000,0.1156674
0.1500000,0.1168579
0.1600000,0.1225991
0.1700000,0.1137299
0.1800000,0.1177460
0.1900000,0.1140117
0.2000000,0.1206167
0.2100000,0.1283155
0.2200000,0.1223413
0.2300000,0.1189542
0.2400000,0.1058482
0.2500000,0.1106761
0.2600000,0.1014329
0.2700000,0.1032793
0.2800000,0.1048907
0.2900000,0.1053386
0.3000000,0.1089309
0.3100000,0.1108127
0.3200000,0.1000748
0.3300000,0.1059003
0.3400000,0.1057336
0.3500000,0.1003288
0.3600000,0.0951108
0.3700000,0.1034286
0.3800000,0.0993931
0.3900000,0.1043059
0.4000000,0.1081033
0.4100000,0.1055404
0.4200000,0.1041607
0.4300000,0.1089111
0.4400000,0.1056457
0.4500000,0.0992442
0.4600000,0.0900005
0.4700000,0.0974061
0.4800000,0.1099585
0.4900000,0.1127379
0.5000000,0.1218760
0.5100001,0.1264499
0.5200000,0.1197093
0.5300000,0.1104190
0.5400000,0.1096504
0.5500000,0.1036881
0.5600000,0.1150444
0.5700001,0.1017199
0.5800000,0.1006993
0.5900000,0.1020865
0.6000000,0.1032278
0.6100000,0.1117050
0.6200000,0.1147911
0.6300001,0.0985129
0.6400000,0.1116371
0.6500000,0.1030540
0.6600000,0.1140265
0.6700000,0.1067202
0.6800000,0.1074588
0.6900001,0.1098314
0.7000000,0.1112556
0.7100000,0.1037762
0.7200000,0.1040118
0.7300000,0.0958668
0.7400000,0.0992208
0.7500001,0.1111324
0.7600001,0.1062337
0.7700000,0.1092954
0.7800000,0.1000030
0.7900000,0.1068476
0.8000000,0.1120885
0.8100001,0.1230331
0.8200001,0.1117042
0.8300000,0.1156533
0.8400000,0.1113055
0.8500000,0.1118953
0.8600000,0.1121112
0.8700001,0.1184550
0.8800001,0.1054801
0.8900000,0.1196902
0.9000000,0.1048814
0.9100000,0.1213069
0.9200000,0.1109504
0.9300001,0.1195290
0.9400001,0.1204817
0.9500000,0.1251821
0.9600000,0.1245358
0.9700000,0.1146679
0.9800000,0.1165459
0.9900001,0.1265666
1.0000000,0.1276597
1.0100000,0.1115794
1.0200001,0.1054464
1.0300001,0.0985442
1.0400001,0.1102933
1.0500001,0.1139173
1.0600001,0.1098722
1.0700001,0.1198437
1.0800000,0.1209839
1.0900000,0.1136962
1.1000000,0.1336948
1.1100000,0.1446966
1.1200000,0.1449446
1.1300000,0.1474448
1.1400001,0.1444634
1.1500001,0.1393170
1.1600001,0.1524579
1.1700001,0.1486101
1.1800001,0.1611254
1.1900001,0.1506397
1.2000000,0.1332646
1.2100000,0.1535515
1.2200000,0.1409037
1.2300000,0.1420637
1.2400000,0.1520284
1.2500000,0.1468762
1.2600001,0.1417878
1.2700001,0.1474751
1.2800001,0.1434225
1.2900001,0.1467318
1.3000001,0.1355870
1.3100001,0.1339395
1.3200001,0.1313132
1.3300000,0.1439822
1.3400000,0.1455635
1.3500000,0.1238974
1.3600000,0.1320731
1.3700001,0.1379953
1.3800001,0.1334677
1.3900001,0.1292099
1.4000001,0.1336265
1.4100001,0.1284838
1.4200001,0.1468758
1.4300001,0.1345257
1.4400001,0.1302282
1.4500000,0.1311606
1.4600000,0.1154214
1.4700000,0.1244799
1.4800000,0.1295929
1.4900001,0.1415835
1.5000001,0.1192024
1.5100001,0.1408657
1.5200001,0.1414820
1.5300001,0.1271207
1.5400001,0.1265126
1.5500001,0.1374580
1.5600001,0.1215345
1.5700001,0.1322928
1.5800000,0.1468527
1.5900000,0.1392899
1.6000000,0.1402105
1.6100001,0.1441540
1.6200001,0.1302690
1.6300001,0.1523577
1.6400001,0.1456983
1.6500001,0.1550080
1.6600001,0.1517082
1.6700001,0.1410323
1.6800001,0.1426673
1.6900001,0.1374177
1.7000000,0.1495326
1.7100000,0.1367730
1.7200000,0.1383136
1.7300001,0.1200763
1.7400001,0.1215128
1.7500001,0.1313394
1.7600001,0.1193357
1.7700001,0.1281497
1.7800001,0.1353725
1.7900001,0.1337530
1.8000001,0.1403081
1.8100001,0.1319518
1.8200001,0.1224727
1.8300000,0.1465457
1.8400000,0.1431408
1.8500001,0.1253608
1.8600001,0.1395646
1.8700001,0.1409761
1.8800001,0.1463136
1.8900001,0.1500897
1.9000001,0.1442178
1.9100001,0.1419304
1.9200001,0.1372348
1.9300001,0.1327642
1.9400001,0.1226182
1.9500000,0.1215230
1.9600000,0.1356776
1.9700001,0.1357315
1.9800001,0.1293699
1.9900001,0.1271379
2.0000000,0.1429952
2.0100000,0.1388890
2.0200000,0.1466972
2.0300002,0.1477132
2.0400002,0.1486639
2.0500002,0.1236864
2.0600002,0.1070384
2.0700002,0.0935238
2.0800002,0.0916087
2.0900002,0.0919293
2.1000001,0.0933027
2.1100001,0.0945862
2.1200001,0.0946595
2.1300001,0.0960040
2.1400001,0.1223260
2.1500001,0.1198768
2.1600001,0.1182578
2.1700001,0.1248344
2.1800001,0.1189155
2.1900001,0.1045800
2.2000000,0.1137901
2.2100000,0.1239151
2.2200000,0.1191122
2.2300000,0.1280873
2.2400000,0.1282011
2.2500000,0.1203751
2.2600000,0.1156672
2.2700002,0.1262795
2.2800002,0.1401289
2.2900002,0.1258916
2.3000002,0.1342052
2.3100002,0.1291990
2.3200002,0.1342460
2.3300002,0.1397725
2.3400002,0.1416423
2.3500001,0.1461883
2.3600001,0.1494700
2.3700001,0.1480308
2.3800001,0.1438672
2.3900001,0.1435323
2.4000001,0.1512657
2.4100001,0.1338637
2.4200001,0.1293191
2.4300001,0.1359271
2.4400001,0.1308800
2.4500000,0.1223463
2.4600000,0.1346488
2.4700000,0.1474126
2.4800000,0.1603424
2.4900000,0.1628762
2.5000000,0.1938444
2.5100002,0.1960950
2.5200002,0.1709073
2.5300002,0.1894056
2.5400002,0.1760805
2.5500002,0.1630477
2.5600002,0.1862280
2.5700002,0.1924396
2.5800002,0.2070961
2.5900002,0.1797952
2.6000001,0.1648074
2.6100001,0.1776404
2.6200001,0.1613094
2.6300001,0.1562100
2.6400001,0.1399506
2.6500001,0.1250509
2.6600001,0.1414469
2.6700001,0.1346313
2.6800001,0.1491393
2.6900001,0.1473139
2.7000000,0.1568009
2.7100000,0.1899754
2.7200000,0.1946214
2.7300000,0.1728671
2.7400002,0.1872365
2.7500002,0.1832344
2.7600002,0.1736037
2.7700002,0.1802025
2.7800002,0.1756600
2.7900002,0.1987460
2.8000002,0.2055111
2.8100002,0.2013832
2.8200002,0.2149519
2.8300002,0.2079838
2.8400002,0.1968459
2.8500001,0.1891665
2.8600001,0.2025156
2.8700001,0.1881215
2.8800001,0.1977845
2.8900001,0.1825878
2.9000001,0.1850286
2.9100001,0.1892976
2.9200001,0.1916465
2.9300001,0.2049379
2.9400001,0.2012319
2.9500000,0.1765450
2.9600000,0.1701553
2.9700000,0.1718140
2.9800003,0.1663471
2.9900002,0.1565752
3.0000002,0.1601758
3.0100002,0.1481973
3.0200002,0.1605771
3.0300002,0.1614640
3.0400002,0.1578659
3.0500002,0.1597426
3.0600002,0.1659897
3.0700002,0.1920923
3.0800002,0.2258416
3.0900002,0.2365172
3.1000001,0.2425057
3.1100001,0.2553056
3.1200001,0.2721866
3.1300001,0.2746122
3.1400001,0.2948976
3.1500001,0.2736112
3.1600001,0.2673087
3.1700001,0.2642135
3.1800001,0.2504501
3.1900001,0.2382416
3.2000000,0.2059894
3.2100000,0.1763037
3.2200003,0.1637955
3.2300003,0.1684136
3.2400002,0.1827218
3.2500002,0.1920663
3.2600002,0.1946036
3.2700002,0.1792238
3.2800002,0.1701658
3.2900002,0.1806285
3.3000002,0.1872512
3.3100002,0.1859692
3.3200002,0.1945390
3.3300002,0.1842455
3.3400002,0.1787947
3.3500001,0.1803232
3.3600001,0.1720026
3.3700001,0.1769222
3.3800001,0.1714064
3.3900001,0.1767552
3.4000001,0.1736512
3.4100001,0.1729195
3.4200001,0.1678973
3.4300001,0.1734813
3.4400001,0.1823411
3.4500000,0.1799515
3.4600003,0.1867282
3.4700003,0.1932121
3.4800003,0.1971173
3.4900002,0.1943573
3.5000002,0.1914947
3.5100002,0.2110017
3.5200002,0.2194596
3.5300002,0.1973054
3.5400002,0.1918168
3.5500002,0.2083251
3.5600002,0.1993345
3.5700002,0.2047058
3.5800002,0.2315921
3.5900002,0.2359691
3.6000001,0.2347084
3.6100001,0.2443268
3.6200001,0.2343257
3.6300001,0.2435611
3.6400001,0.2358141
3.6500001,0.2189182
3.6600001,0.2155852
3.6700001,0.2119713
3.6800001,0.2073062
3.6900001,0.2024755
3.7000003,0.2081374
3.7100003,0.1942135
3.7200003,0.2054629
3.7300003,0.2038185
3.7400002,0.2271630
3.7500002,0.2338116
3.7600002,0.2459344
3.7700002,0.2463025
3.7800002,0.2386930
3.7900002,0.2351079
3.8000002,0.2373500
3.8100002,0.2346699
3.8200002,0.2181179
3.8300002,0.1831622
3.8400002,0.1755816
3.8500001,0.1833694
3.8600001,0.1855480
3.8700001,0.1855608
3.8800001,0.1816973
3.8900001,0.1781611
3.9000001,0.1942475
3.9100001,0.1789983
3.9200001,0.1833593
3.9300003,0.2093784
3.9400003,0.1963590
3.9500003,0.1885249
3.9600003,0.2067323
3.9700003,0.2018739
3.9800003,0.2092297
3.9900002,0.2301777
4.0000000,0.2292362
4.0100002,0.2314928
4.0200000,0.2320208
4.0300002,0.2383928
4.0400000,0.2033887
4.0500002,0.2279463
4.0600004,0.2249492
4.0700002,0.2087101
4.0800004,0.2324236
4.0900002,0.2283042
4.1000004,0.2227022
4.1100001,0.2149095
4.1200004,0.2161527
4.1300001,0.2288914
4.1400003,0.2341691
4.1500001,0.2033154
4.1600003,0.1933418
4.1700001,0.1844397
4.1800003,0.1898411
4.1900001,0.1723512
4.2000003,0.1739855
4.2100000,0.1714010
4.2200003,0.1796919
4.2300000,0.1772609
4.2400002,0.1666966
4.2500000,0.1716434
4.2600002,0.1755673
4.2700000,0.1702693
4.2800002,0.1741151
4.2900004,0.1735827
4.3000002,0.1695437
4.3100004,0.1560213
4.3200002,0.1695595
4.3300004,0.1771242
4.3400002,0.1947065
4.3500004,0.1732656
4.3600001,0.1646287
4.3700004,0.1533438
4.3800001,0.1562686
4.3900003,0.1614846
4.4000001,0.1962321
4.4100003,0.1569634
4.4200001,0.1562842
4.4300003,0.1393416
4.4400001,0.1547364
4.4500003,0.1892528
4.4600000,0.2003494
4.4700003,0.1868604
4.4800000,0.1728086
4.4900002,0.1714717
4.5000000,0.1650133
4.5100002,0.1646943
4.5200000,0.1690780
4.5300002,0.1759792
4.5400004,0.1674452
4.5500002,0.1560657
4.5600004,0.1503901
4.5700002,0.1387742
4.5800004,0.1667874
4.5900002,0.1823437
4.6000004,0.1764296
4.6100001,0.1748075
4.6200004,0.1690756
4.6300001,0.1678631
4.6400003,0.1677910
4.6500001,0.1540128
4.6600003,0.1607112
4.6700001,0.1702308
